code,term
E13,Other specified diabetes mellitus
E130,Other specified diabetes mellitus : With coma
E131,Other specified diabetes mellitus : With ketoacidosis
E132,Other specified diabetes mellitus : With renal complications
E133,Other specified diabetes mellitus : With ophthalmic complications
E134,Other specified diabetes mellitus : With neurological complications
E135,Other specified diabetes mellitus : With peripheral circulatory complications
E136,Other specified diabetes mellitus : With other specified complications
E137,Other specified diabetes mellitus : With multiple complications
E138,Other specified diabetes mellitus : With unspecified complications
E139,Other specified diabetes mellitus : Without complications
E14,Unspecified diabetes mellitus
E140,Unspecified diabetes mellitus : With coma
E141,Unspecified diabetes mellitus : With ketoacidosis
E142,Unspecified diabetes mellitus : With renal complications
E143,Unspecified diabetes mellitus : With ophthalmic complications
E144,Unspecified diabetes mellitus : With neurological complications
E145,Unspecified diabetes mellitus : With peripheral circulatory complications
E146,Unspecified diabetes mellitus : With other specified complications
E147,Unspecified diabetes mellitus : With multiple complications
E148,Unspecified diabetes mellitus : With unspecified complications
E149,Unspecified diabetes mellitus : Without complications
G590,Diabetic mononeuropathy
G632,Diabetic polyneuropathy
H280,Diabetic cataract
H360,Diabetic retinopathy
M142,Diabetic arthropathy
M1420,Diabetic arthropathy : Multiple sites
M1421,Diabetic arthropathy : Shoulder region
M1422,Diabetic arthropathy : Upper arm
M1423,Diabetic arthropathy : Forearm
M1424,Diabetic arthropathy : Hand
M1425,Diabetic arthropathy : Pelvic region and thigh
M1426,Diabetic arthropathy : Lower leg
M1427,Diabetic arthropathy : Ankle and foot
M1428,Diabetic arthropathy : Other
M1429,Diabetic arthropathy : Site unspecified
N083,Glomerular disorders in diabetes mellitus
O243,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified"
Y423,Insulin and oral hypoglycaemic [antidiabetic] drugs
