code,term
104031000000108,Secondary pancreatic diabetes mellitus
105401000119101,Diabetes mellitus due to pancreatic injury
112991000000101,Lipoatrophic diabetes mellitus without complication
1156814008,Generalized congenital lipodystrophy with myopathy
1197592001,"Intrauterine growth restriction, short stature, early adult-onset diabetes syndrome"
122411000000108,Secondary pancreatic diabetes mellitus without complication
122481000000101,Fibrocalculous pancreatic diabetes
122961000000101,Secondary pancreatic diabetes mellitus without complication
127012008,Lipoatrophic diabetes
1285518004,Wolfram syndrome type 1
1285519007,Wolfram syndrome type 2
1303868000,"Developmental delay, epilepsy, neonatal diabetes syndrome, intermediate form"
1367802006,Diabetes mellitus due to chronic pancreatitis
190416008,Steroid-induced diabetes mellitus without complication
190447002,Steroid-induced diabetes
237601000,Secondary endocrine diabetes mellitus
237603002,Transitory neonatal diabetes mellitus
237604008,"Maturity onset diabetes of the young, type 2"
237608006,"Lipodystrophy, partial, with Rieger anomaly, short stature, and insulinopenic diabetes mellitus"
237610008,"Acrorenal field defect, ectodermal dysplasia, and lipoatrophic diabetes"
237611007,"Muscular atrophy, ataxia, retinitis pigmentosa, and diabetes mellitus"
237612000,"Photomyoclonus, diabetes mellitus, deafness, nephropathy and cerebral dysfunction"
237616002,"Hypogonadism, diabetes mellitus, alopecia, mental retardation and electrocardiographic abnormalities"
237617006,"Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness"
237619009,Maternally inherited diabetes and deafness
2751001,Fibrocalculous pancreatic diabetes
276560009,Diabetes mellitus in neonate small for gestational age
284449005,Congenital total lipodystrophy
28453007,Maturity onset diabetes mellitus in young
286451000000100,Cystic fibrosis related diabetes mellitus
292571000000107,Cystic fibrosis related diabetes mellitus
303059007,Postpancreatectomy hypoinsulinemia
33559001,Pineal hyperplasia AND diabetes mellitus syndrome
335621000000101,Maternally inherited diabetes mellitus
367241000119104,Hyperosmolar coma due to drug induced diabetes mellitus
368601000119102,Hyperosmolar coma due to secondary diabetes mellitus
368711000119106,Mild nonproliferative retinopathy due to secondary diabetes mellitus
368721000119104,Non-proliferative retinopathy due to secondary diabetes mellitus
368741000119105,Moderate non-proliferative retinopathy due to secondary diabetes mellitus
390715006,Diabetes mellitus autosomal dominant
390716007,Diabetes mellitus autosomal dominant type 2
400971001,Maturity onset diabetes mellitus in young
408540003,Diabetes mellitus caused by non-steroid drugs
408545008,Fibrocalculous pancreatic diabetes
413183008,Diabetes mellitus caused by non-steroid drugs without complication
413184002,Fibrocalculous pancreatopathy without complication
426705001,Diabetes mellitus co-occurrent and due to cystic fibrosis
427089005,Diabetes mellitus due to cystic fibrosis
42954008,Diabetes mellitus associated with receptor abnormality
445260006,Posttransplant diabetes mellitus
472972006,History of maturity onset diabetes mellitus in young
49817004,Neonatal diabetes mellitus
51002006,Diabetes mellitus associated with pancreatic disease
5368009,Drug-induced diabetes mellitus
59079001,Diabetes mellitus associated with hormonal etiology
5969009,Diabetes mellitus associated with genetic syndrome
609561005,Maturity-onset diabetes of the young
609562003,"Maturity onset diabetes of the young, type 1"
609565001,Permanent neonatal diabetes mellitus
609568004,Diabetes mellitus due to genetic defect in beta cell function
609569007,Diabetes mellitus due to genetic defect in insulin action
609570008,"Maturity-onset diabetes of the young, type 3"
609571007,"Maturity-onset diabetes of the young, type 4"
609572000,"Maturity-onset diabetes of the young, type 5"
609573005,"Maturity-onset diabetes of the young, type 6"
609574004,"Maturity-onset diabetes of the young, type 7"
609575003,"Maturity-onset diabetes of the young, type 8"
609576002,"Maturity-onset diabetes of the young, type 9"
609577006,"Maturity-onset diabetes of the young, type 10"
609578001,"Maturity-onset diabetes of the young, type 11"
609579009,"Diabetes mellitus, transient neonatal 1"
609580007,"Diabetes mellitus, transient neonatal 2"
609581006,"Diabetes mellitus, transient neonatal 3"
70694009,Wolfram syndrome
720519003,"Atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome"
721088003,"Developmental delay, epilepsy, neonatal diabetes syndrome"
721973006,"Lipodystrophy, intellectual disability, deafness syndrome"
722206009,"Pancreatic hypoplasia, diabetes mellitus, congenital heart disease syndrome"
722454003,"Intellectual disability, craniofacial dysmorphism, hypogonadism, diabetes mellitus syndrome"
724067006,Permanent neonatal diabetes mellitus with cerebellar agenesis syndrome
724276006,"X-linked immune dysregulation, polyendocrinopathy, enteropathy syndrome"
733072002,"Alaninuria, microcephaly, dwarfism, enamel hypoplasia, diabetes mellitus syndrome"
734022008,Wolfram-like syndrome
737212004,Diabetes mellitus caused by chemical
75682002,Diabetes mellitus caused by insulin receptor antibodies
771521000000101,History of autosomal dominant diabetes mellitus
771571000000102,History of secondary diabetes mellitus
782755007,"Primary microcephaly, mild intellectual disability, young-onset diabetes syndrome"
782825008,"Primary microcephaly, epilepsy, permanent neonatal diabetes syndrome"
78471000000108,Maturity onset diabetes mellitus in young
816067005,"Diabetes, hypogonadism, deafness, intellectual disability syndrome"
8801005,Secondary diabetes mellitus
91352004,Diabetes mellitus due to structurally abnormal insulin
974131000000100,Maturity onset diabetes of the young type 5
974141000000109,Maturity onset diabetes of the young type 5 
99261000000102,Fibrocalculous pancreatic diabetes
